typicaled,occupation,lessthanhs,hsdiploma,somecollege,associates,bachelors,masters,professional,hsorless,somecollegeorassociates,postgrad,TOT_EMP,A_MEDIAN,natlwage,workexp,probability,total,reveal,sum_tot_emp,weight,mean_prob
Associate's degree,Chemical Technicians,2.9,22.1,25.8,14.7,25.6,5.2,3.7,25,40.5,8.9,64550,47280,3292695500,None,56.99999999999999,65500,4,1869840,0.03452167030334146,50.06446166516921
Associate's degree,Dietetic Technicians,1.8,20.1,34.7,21.6,18.2,2.5,1.1,21.900000000000002,56.300000000000004,3.6,33370,26500,988085700,None,13,32190,4,1869840,0.01784644675480255,50.06446166516921
Associate's degree,Electro-Mechanical Technicians,3.5,22.4,31,22.6,17.1,2.9,0.6,25.9,53.6,3.5,13050,56740,776344500,None,81,12730,4,1869840,0.006979206777050443,50.06446166516921
Associate's degree,Medical Equipment Repairers,3.9,23.3,28.7,20.7,18.6,3.9,0.9,27.2,49.4,4.8,43670,48820,2282194200,None,27,42200,4,1869840,0.023354939460060755,50.06446166516921
Associate's degree,Nuclear Technicians,3.4,22.4,21.9,16.8,26,6.4,3,25.799999999999997,38.7,9.4,6850,80370,548000000,None,85,4490,4,1869840,0.0036634150515552134,50.06446166516921
Associate's degree,Air Traffic Controllers,0.6,9.5,32.6,14.7,34.5,6.9,1.1,10.1,47.3,8,22790,124540,2740725400,None,11,20330,4,1869840,0.012188208616780046,50.06446166516921
Associate's degree,Architectural and Civil Drafters,0.8,11.1,28,32.8,22.8,3.9,0.6,11.9,60.8,4.5,95960,52870,5288355600,None,52,96780,4,1869840,0.05131989902879391,50.06446166516921
Associate's degree,Aerospace Engineering and Operations Technicians,3.5,22.4,31,22.6,17.1,2.9,0.6,25.9,53.6,3.5,11710,67240,835391400,None,48,8470,4,1869840,0.006262567920249861,50.06446166516921
Associate's degree,Geological and Petroleum Technicians,3.4,22.4,21.9,16.8,26,6.4,3,25.799999999999997,38.7,9.4,14820,54190,940329000,None,91,14570,4,1869840,0.007925811834167629,50.06446166516921
Associate's degree,Industrial Engineering Technicians,3.5,22.4,31,22.6,17.1,2.9,0.6,25.9,53.6,3.5,65020,54280,3758806200,None,3,60810,4,1869840,0.034773028708338684,50.06446166516921
Associate's degree,Diagnostic Medical Sonographers,1.3,6.1,17.1,43.2,26.7,4,1.6,7.3999999999999995,60.300000000000004,5.6,68750,71410,5032500000,None,35,65790,4,1869840,0.036767851794805975,50.06446166516921
Associate's degree,Physical Therapist Assistants,1.5,6.1,13.4,51.8,23.5,2.4,1.4,7.6,65.2,3.8,90170,57430,5195595400,None,1.7999999999999998,85590,4,1869840,0.048223377401274976,50.06446166516921
Associate's degree,Environmental Engineering Technicians,3.5,22.4,31,22.6,17.1,2.9,0.6,25.9,53.6,3.5,17590,50230,942999900,None,25,16500,4,1869840,0.009407222008300175,50.06446166516921
Associate's degree,Electrical and Electronics Drafters,0.8,11.1,28,32.8,22.8,3.9,0.6,11.9,60.8,4.5,26060,59690,1660543200,None,81,26750,4,1869840,0.013937021349420271,50.06446166516921
Associate's degree,Occupational Therapy Assistants,0,0.7,6.1,75.7,15.4,1.3,0.8,0.7,81.8,2.1,41650,59310,2476925500,None,2.8000000000000003,38170,4,1869840,0.022274633123689727,50.06446166516921
Associate's degree,Respiratory Therapists,0.3,1.2,12.7,54.4,27.6,2.8,1,1.5,67.1,3.8,128250,59710,7927132500,None,6.6000000000000005,126820,4,1869840,0.06858875625721987,50.06446166516921
Associate's degree,Respiratory Therapy Technicians,1.8,20.1,34.7,21.6,18.2,2.5,1.1,21.900000000000002,56.300000000000004,3.6,9600,50350,488640000,None,10,10150,4,1869840,0.005134129123347452,50.06446166516921
Associate's degree,Cardiovascular Technologists and Technicians,1.3,6.1,17.1,43.2,26.7,4,1.6,7.3999999999999995,60.300000000000004,5.6,56130,55270,3213442500,None,23,53480,4,1869840,0.030018611218072134,50.06446166516921
Associate's degree,Mechanical Engineering Technicians,3.5,22.4,31,22.6,17.1,2.9,0.6,25.9,53.6,3.5,43390,55360,2524430200,None,38,45360,4,1869840,0.02320519402729645,50.06446166516921
Associate's degree,Paralegals and Legal Assistants,1,10.6,24.1,20,34.9,6.2,3.2,11.6,44.1,9.4,290410,50410,15656003100,None,94,266740,4,1869840,0.15531275403243058,50.06446166516921
Associate's degree,Agricultural and Food Science Technicians,8.3,22.3,25,13.7,24.8,4.1,1.8,30.6,38.7,5.8999999999999995,21120,39910,906259200,None,97,20190,4,1869840,0.011295084071364396,50.06446166516921
Associate's degree,Forest and Conservation Technicians,3.2,15,21,13.5,32.3,11.5,3.5,18.2,34.5,15,30570,36130,1197732600,None,42,29300,4,1869840,0.016348992427159544,50.06446166516921
Associate's degree,Desktop Publishers,2.1,18.5,28.4,13.1,28.5,8.2,1.2,20.6,41.5,9.399999999999999,12000,42350,542040000,None,16,12820,4,1869840,0.006417661404184315,50.06446166516921
